show_version	打印服务器编译版本号
set_debug_role_immoffline	开发环境使得本服指定玩家下线无延迟：角色UID 操作类型(0:清空设置列表1:生效2:失效3:查看)
test_chat_length	测试聊天长度 内容
shrink_misc_act	miscAct瘦身，危险
mp_get_max_redis_cdkey_id	获取redis中存储的最大cdkeyid
mp_get_max_cache_cdkey_id	获取MPServer缓存中存储最大cdkeyid
mp_set_max_redis_cdkey_id	设置redis中存储的最大cdkeyid, 参数：最大cdkeyid
see_role_actlist	查看玩家活动列表: 角色UID 是否包含未来生效(0表示否) 指定类型(0为所有)
get_act_snapshot	只能内网执行获取活动快照
set_act_snapshot	只能内网执行设置活动快照 快照内容
check_act_snapshot	只能内网执行判断目标区服是否开启活动快照道具功能
fetch_act_all	只能内网执行 k8s拉取加载活动
set_guide_battle_count	设置玩家新手关次数, 参数: 角色UID 新手关次数
clear_level_info	清除玩家玩过关卡信息, 参数: 角色UID
set_sadness	设置玩家挫败值(废弃), 参数: 角色UID 挫败值
change_scene_with_target	跟随目标进入主城, 参数: 角色UID 目标玩家UID 目标玩家区ID
set_black_warm_info	设置玩家开黑温暖关信息, 参数: 角色UID 主模式开黑次数 上一局第一关是否过关
set_same_match_pool	设置所有人进入同一个匹配池, 参数: 1/2/4(模式)开启0关闭
see_same_match_pool	查看所有人进入同一个匹配池
add_skin	添加换装皮肤, 参数: 角色UID 皮肤ID 有效时长(秒数,不填表示永久皮肤)
add_all_skin	添加所有永久换装皮肤, 参数: 角色UID
set_skin	穿上换装皮肤, 参数: 角色UID 皮肤ID(支持同时穿多个,以逗号分隔)
del_skin	删除一个换装皮肤, 参数: 角色UID 皮肤ID
set_totalfashion	设置累计潮流度, 参数: 角色UID 数值
set_seasonfashion	设置赛季潮流度, 参数: 角色UID 数值
add_title	添加称号, 参数: 角色UID 称号ID
del_title	删除称号, 参数: 角色UID 称号ID
set_title	设置当前使用的称号, 参数: 角色UID 左称号ID 右称号ID
add_emoji	添加战场表情, 参数: 角色UID 表情ID 有效时长(秒数,不填表示永久表情)
add_all_emoji	添加所有永久战场表情, 参数: 角色UID
set_emoji	穿上表情, 参数: 角色UID 位置(1-8) 表情ID(0表示脱下)
del_emoji	删除表情, 参数: 角色UID 表情ID
set_skill	装备技能, 参数: 角色UID 技能ID
add_box_progress	增加箱子进度, 参数: 角色UID 数值
set_box_progress	设置箱子进度, 参数: 角色UID 数值
magicchesspass_clear_record	通行证--清除活动数据：角色UID 活动ID
magicchesspass_add_score	通行证--增加进度：角色UID 数值
magicchesspass_set_task_num	通行证--设置任务完成次数：角色UID 活动ID 任务类型(1每日2每周) 任务库ID 任务ID 次数
scene_robot_add	主城--增加机器人：角色UID 个数
scene_robot_remove	主城--删除机器人：角色UID BUID
scene_see	主城--查看角色所在主城：角色UID
disconnect_scene	主城--断开场景连接：角色UID
disconnect_game	逻辑--断开逻辑连接：角色UID
disconnect_battle	战斗--断开战斗连接：角色UID
act_7login_login_num	七日登陸--设置登陆天数：角色UID 天数
scene_svr_list	主城--列出所有主城服务器及其中的场景
scene_enter	主城--指定进入某个主城：玩家UID 主城服务器ID 主城ID
get_recommend_scene	主城--获取推荐主城：玩家UID 画质 [主城类型]
scene_clear_record	主城--清除记录：玩家UID
set_bindaccount_reward_status	设置绑定账号的领奖状态 参数：角色UID 领奖状态(0-未领取，1-已领取)
see_msdk_accountbind_info	查看MSDK账号的绑定数据 参数：角色UID MSDK账号
test_common_draw	测试通用抽奖：角色UID 活动ID 抽奖次数 是否十连抽(1-十连抽 0-单抽)
get_friendrecomm	获取好友推荐:参数:角色UID
report_friend_recomm_info	上报推荐数据:参数:角色UID
add_newplayer_recomm	新人推荐-将自己加入推荐池 参数:角色UID
get_newplayer_recomm	新人推荐-给自己推荐新人 参数:角色UID
reset_newplayer_recommnum	新人推荐-重置今日次数 参数:角色UID
show_newplayer_recomm_list	新人推荐-显示待推荐列表 参数:角色UID
do_thumbsUp	点赞-给玩家点赞 参数:角色UID 被点赞角色UID 被点赞角色zoneid
set_thumbsUp	点赞-设置玩家点赞数量 参数:角色UID 点赞数
add_fighted_role_record	增加一起战斗过的玩家 参数:角色UID 一起玩的角色UID 一起玩的角色zoneid
add_behavior_record	增加玩家行为次数 参数:角色UID 行为类型 行为次数
get_RankBigLevel_ByScore	计算大段位 参数:段位分
get_mapcollect_reward	地图图鉴-获得地图解锁奖励 参数:角色UID 地图id
clear_mapcollect_reward	地图图鉴-清楚地图解锁奖励记录 参数:角色UID [地图id]
survey_test	测试生成问卷调查url:角色UID,活动ID,语言
act_pointcharger_getreward	指定商品充值奖励-领取奖励 参数:角色UID 活动ID 奖励天数
act_pointcharger_getreward_renewal	指定商品充值奖励-领取累充奖励 参数:角色UID 活动ID 奖励天数
see_clientinfo	查看ClientInfo: 角色UID id
battle_reconnect_failed	战斗主动断开当前连接 参数: 角色UID
start_goserver_cpu_pprof	开启goserver pprof-cpu，参数：server ip port
stop_goserver_cpu_pprof	开启goserver pprof-cpu，参数：server ip port
see_market_price	查看当前市场物品售价
set_market_price	设置当前市场物品售价，参数：物品ID 价格
summon_monster	在角色所在战斗召唤怪物，参数：角色UID 怪物模板ID X Y
summon_chest	在角色所在战斗召唤宝箱，参数：角色UID 宝箱模板ID X Y
summon_team	在角色所在战斗召唤队友，参数：角色UID AIStype X Y
summon_drop	在角色所在战斗召唤掉落物品到玩家脚下，参数：角色UID DropID
summon_item	在角色所在战斗召唤指定物品到玩家脚下，参数：角色UID ItemId
runtest	执行一个测试函数，服务器测试功能
mtpass_get_app_role	查看沐瞳通行证角色信息, 参数：沐瞳通行证id 指定appid(不指定拉取所有) 最大角色数量(不设置拉取所有)
mtpass_del_approle_map	沐瞳通行证删除账号映射, 参数: appid app_roleid
mtpass_get_approle_map	沐瞳通行证获取账号映射, 参数: appid app_roleid
add_other_predefined	预设出装-添加1个分享预设, 从个人预设复制, 参数1: 角色UID
reset_all_predefined	预设出装-重置所有预设, 参数1: 角色UID
add_handbook_strategy	图鉴攻略-批量添加测试攻略, 参数1: 角色UID 参数2: 图鉴ID 参数3: 图鉴道具ID 参数4: 添加条数,每次最多1000条
reset_all_handbook_strategy	图鉴攻略-重置所有攻略数据, 参数1: 角色UID
remove_ugc_content	删除藏品中的指定攻略, 参数1: 道具ID 参数2: 攻略ID
ban_ugc_content	禁止玩家投稿发布攻略, 参数1: 角色UID 参数2: 禁止时长(秒)
add_team_didi_test_recommend	组队滴滴推荐-添加测试用推荐数据, 参数1: 1-活跃池 2-静默池 参数2: 添加条数,每次最多1000条
get_team_didi_recommend	组队滴滴推荐-请求推荐数据, 参数1: 角色UID
reset_all_team_didi_recommend	组队滴滴推荐-重置所有推荐池数据, 参数1: 0-重置所有 1-只重置活跃池 2-只重置静默池
set_rookie_task_process	新手任务-设置任务进度值, 参数1: 角色UID 参数2: 任务ID 参数3: 进度值
reset_all_rookie_task	新手任务-重置所有任务, 参数1: 角色UID
complete_all_rookie_task	一键完成所有新手任务, 参数1: 角色UID
set_achieve_cond_val	设置成就进度, 参数1: 角色UID 参数2: 成就ID 参数3: 进度值
reset_all_achieve	重置所有成就数据, 参数1: 角色UID
complete_all_achieve	一键完成所有成就, 参数1: 角色UID
get_match_tick_snapshot	获取所有匹配服实时监控信息
reset_social_today_limit	重置点赞次数限制
add_appellation	获得称号, 参数1: 角色UID 参数2: 称号ID
set_rank_tier_cur_season_statis	设置段位当前赛季统计数据, [参数1: 角色UID] [参数2-数据大类: 1-总数据 2-排位数据] [参数3-数据小类: 1-总对局数 2-总击杀数 3-成功撤离数] [参数4: 目标值]
gain_handbook_item	获得指定图鉴道具, 参数1: 角色UID 参数2: 道具ID, Item.xlsx表的道具ID
reset_all_handbook	重置所有图鉴数据, 参数1: 角色UID
gain_all_handbook	获取所有图鉴道具, 参数1: 角色UID
set_handbook_place_count	临时设置图鉴收藏室最高大红摆放数量, 参数1: 角色UID 参数2: 摆放数量
friend_recommend	测试好友推荐协议, 参数1: 角色UID 参数2: 推荐类型
friend_battle	测试最近游戏次数, 参数1: 角色UID 参数2: 目标玩家UID, 参数3: 最近场数
career_add_item	添加生涯展示道具, 参数1: 角色UID 参数2: 道具ID
weaponskin_del	删除武器皮肤, 参数1: 角色UID 参数2: 皮肤ID|0
weaponskin_change	修改武器皮肤状态, 参数1: 角色UID 参数2: 皮肤ID 参数3: 状态(0|1|2)
highvalue_item	出红通知, 参数1: 角色UID 参数2: HighValueItemID|0
friend_search_clear_all_stats	好友搜索, 清除所有统计数据, 参数1: 角色UID
friend_search_set_cond	好友搜索, 设置玩家条件值, 参数1:角色UID 参数2:条件类型,1-时段1,2-时段2,4-风格 参数3:条件值,填值格式'A;B',填'clear'表示清除
friend_search_add_seek_gold_stats	好友搜索, 批量添加风格-淘金达人统计记录, 参数1:角色UID 参数2:统计值,0-不满足,1-满足,填值格式:'A;B',填'clear'表示清除
friend_search_add_sprint_rank_stats	好友搜索, 添加风格-冲段高手统计记录, 参数1:角色UID 参数2:是否排位,0-非排位,1-排位,2-清除所有记录 参数3:积分变化值,非排位填0
friend_search_add_period1_stats	好友搜索, 添加游玩时段1一天的统计记录, 参数1:角色UID 参数2:工作日时长,秒 参数3:周末时长,秒 [工作日/周末都填0表示清除]
friend_search_add_period2_stats	好友搜索, 添加游玩时段2一天的统计记录, 参数1:角色UID 参数2:早上时长,秒 参数3:中午时长,秒 参数4:下午时长,秒 参数5:晚上时长,秒 [上/中/下/晚都填0表示清除]
friend_search_add_login_time	好友搜索, 批量添加某些天的登录记录, 参数1:角色UID 参数2:哪些天,格式'2;1;0',2-前天,1-昨天,0-今天,必须按早到晚顺序填,填'clear'表示清除
friend_search_add_battle_time	好友搜索, 批量添加战斗时间记录, 参数1:角色UID 参数2:1至N个Unix时间戳,格式'T1;T2;T3',必须按小到大填过往Unix时间戳,填'clear'表示清除
friend_search_call_logout	好友搜索, 调用登出接口执行一次活跃时间记录, 参数1:角色UID 参数2:登录Unix时间戳 参数3:登出Unix时间戳
friend_search_update_pool	好友搜索, 更新索引池, 参数1:角色UID 参数2:操作类型,0-删除,1-更新 参数3:0-不检测上报条件 1-检测上报条件
friend_search_clear_all_pool	好友搜索, 清空所有索引池, 参数1:角色UID 参数2:哪个池,0-所有池,1-时段1池,2-时段2池,3-段位池,4-风格池,99-公共池
friend_search_print_all_stats	好友搜索, 打印玩家身上所有统计数据, 程序调试用 参数1:角色UID
daily_evacu_reset	每日撤离: 重置所有数据, 参数1: 角色UID
daily_evacu_set_times	每日撤离: 设置累计次数, 参数1: 角色UID 参数2: 次数
daily_evacu_send_mail	每日撤离: 直接发送补发邮件, 并重置数据, 参数1: 角色UID
daily_win_evacu_reset	每日连胜撤离: 重置所有数据, 参数1: 角色UID
daily_win_evacu_set_times	每日连胜撤离: 设置累计次数, 参数1: 角色UID 参数2: 次数
daily_win_evacu_send_mail	每日连胜撤离: 直接发送补发邮件, 并重置数据, 参数1: 角色UID
lottery_reset	重置抽奖数据, 参数1: 角色UID 参数2: 抽奖ID,填0重置所有奖池
lottery_set_data	设置抽奖数据, 参数1: 角色UID 参数2: 抽奖ID 参数3: 数据key[1-该轮总抽奖次数 2-总抽奖次数 3-轮次 4-已刷新次数 5-选择奖品ID] 参数4: 参数值
lottery_set_prize_draw_count	设置奖品已抽取份数, 参数1: 角色UID 参数2: 抽奖ID 参数3: 奖品ID 参数4: 已抽取份数
lottery_set_bottom_data	设置保底数据, 参数1: 角色UID 参数2: 抽奖ID 参数3: 保底ID 参数4: 数据key[1-累计未抽到次数 2-已生效次数 3-保底抽数] 参数5: 参数值
lottery_query_data	查询抽奖数据, 参数1: 角色UID
lottery_batch_draw	批量抽奖模拟, 参数1: 角色UID 参数2: 抽奖ID 参数3: 批量抽数
basic_task_reset	重置基础活动所有任务数据, 参数1: 角色UID 参数2: 活动ID,填0重置所有基础活动
first_recharge_reset	重置首充活动状态数据, 参数1: 角色UID 参数2: 活动ID,填0重置所有首充活动
see_match_activity	获取matchserver当前生效活动, 参数1: 活动类型
see_battle_activity	获取battleserver当前生效活动, 参数1: battle的区服ID（如1002） 参数2: 活动类型
game_system_remove	GameSystem删除指定系统ID开启记录, 参数1: 角色ID 参数2: 功能ID, 0表示删除所有
game_system_add	GameSystem添加指定系统ID开启记录, 参数1: 角色ID 参数2: 功能ID 参数3: 0-不执行功能开启逻辑 1-执行功能开启逻辑
game_system_see	GameSystem查看所有系统的开启记录, 参数1: 角色ID
boss_reset_bp	Boss活动重置BP数据,参数1:角色ID
boss_reset_all	Boss活动重置所有,参数1:角色ID
boss_print	Boss活动所有信息打印,参数1:角色ID
boss_print_act	Boss活动信息打印,参数1:角色ID
boss_print_role	Boss活动角色信息打印,参数1:角色ID
boss_clear_daily	Boss活动重置日常任务,参数1:角色ID
boss_reset_task	Boss活动重置所有任务,参数1:角色ID
boss_reset_battle	Boss活动重置统计积分,参数1:角色ID
boss_set_score	Boss活动设置积分,参数1:角色ID,参数2:设置积分
boss_add_exp	Boss活动添加BP经验,参数1:角色ID,参数2:BP经验
boss_finish	Boss活动结算测试 参数1:角色ID,参数2:结算类型1-6
boss_reset_week	Boss活动重置周任务 参数1:角色ID
bp_reset_all	BP活动数据重置 参数1:角色ID
bp_reset_task	BP活动任务重置 参数1:角色ID
equip_red_misc	测试装备红色杂物到红色杂物槽位, 参数: 角色UID 道具ID
resize_backpack	扩缩容玩家身上背包, 参数: 角色UID 行数 列数
act_recharge_set	充值返利充值阶段设置充值额度 参数1:角色ID,参数2:额度值
act_rebeate_set	充值返利返利阶段设置充值额度 参数1:角色ID,参数2:额度值
act_rating_push	测试弹出评价 参数1:角色ID
act_rating_clear	重置数据 参数1:角色ID
act_today_rating	查看今日弹出次数 参数1:角色ID
report_test	重置数据 参数1:角色ID
